Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
Precision NAS-D,1.0 ± 0.0,1.0 ± 0.0,0.983 ± 0.023,0.972 ± 0.021,0.946 ± 0.05,0.933 ± 0.052,0.985 ± 0.016,0.973 ± 0.036,1.0 ± 0.0,0.752 ± 0.057,0.816 ± 0.034,0.765 ± 0.037,0.862 ± 0.013,0.8 ± 0.014,0.999 ± 0.003,1.0 ± 0.0,1.0 ± 0.0,0.976 ± 0.038,0.986 ± 0.022,0.999 ± 0.003,0.971 ± 0.028,0.544 ± 0.064,0.945 ± 0.036,0.334 ± 0.029,0.513 ± 0.053,0.35 ± 0.033
Recall NAS-D,1.0 ± 0.0,1.0 ± 0.0,0.964 ± 0.04,0.94 ± 0.034,0.978 ± 0.019,0.97 ± 0.023,0.984 ± 0.018,0.949 ± 0.042,1.0 ± 0.0,0.876 ± 0.052,0.897 ± 0.008,0.862 ± 0.006,0.771 ± 0.048,0.64 ± 0.076,1.0 ± 0.0,1.0 ± 0.0,0.997 ± 0.009,0.985 ± 0.034,0.974 ± 0.025,0.997 ± 0.007,0.968 ± 0.029,0.511 ± 0.081,0.848 ± 0.053,0.327 ± 0.018,0.533 ± 0.055,0.351 ± 0.027
NAS-D,1.0 ± 0.0,1.0 ± 0.0,0.973 ± 0.031,0.955 ± 0.024,0.961 ± 0.032,0.95 ± 0.034,0.984 ± 0.016,0.961 ± 0.037,1.0 ± 0.0,0.809 ± 0.051,0.854 ± 0.021,0.81 ± 0.022,0.813 ± 0.028,0.709 ± 0.048,1.0 ± 0.001,1.0 ± 0.0,0.998 ± 0.005,0.98 ± 0.035,0.98 ± 0.021,0.998 ± 0.004,0.969 ± 0.026,0.524 ± 0.063,0.893 ± 0.044,0.329 ± 0.01,0.522 ± 0.051,0.351 ± 0.029
Precision NAS-L,1.0 ± 0.0,1.0 ± 0.0,0.94 ± 0.061,0.887 ± 0.088,0.912 ± 0.1,0.888 ± 0.11,0.973 ± 0.038,0.89 ± 0.14,1.0 ± 0.0,0.836 ± 0.179,0.738 ± 0.061,0.691 ± 0.074,0.657 ± 0.047,0.328 ± 0.033,0.985 ± 0.046,1.0 ± 0.0,1.0 ± 0.0,0.883 ± 0.181,0.946 ± 0.081,0.98 ± 0.04,0.869 ± 0.144,0.255 ± 0.084,0.881 ± 0.079,0.126 ± 0.092,0.095 ± 0.075,0.915 ± 0.061
Recall NAS-L,1.0 ± 0.0,1.0 ± 0.0,0.929 ± 0.089,0.877 ± 0.143,0.922 ± 0.104,0.885 ± 0.123,0.955 ± 0.072,0.927 ± 0.088,1.0 ± 0.0,0.745 ± 0.078,0.75 ± 0.02,0.654 ± 0.012,0.608 ± 0.06,0.599 ± 0.133,1.0 ± 0.0,1.0 ± 0.0,0.992 ± 0.019,0.887 ± 0.225,0.892 ± 0.114,0.983 ± 0.043,0.892 ± 0.11,0.125 ± 0.058,0.722 ± 0.158,0.003 ± 0.009,0.08 ± 0.047,0.952 ± 0.05
NAS-L,1.0 ± 0.0,1.0 ± 0.0,0.934 ± 0.071,0.877 ± 0.105,0.916 ± 0.098,0.885 ± 0.113,0.963 ± 0.051,0.905 ± 0.109,1.0 ± 0.0,0.772 ± 0.08,0.742 ± 0.032,0.67 ± 0.033,0.628 ± 0.028,0.417 ± 0.037,0.992 ± 0.025,1.0 ± 0.0,0.996 ± 0.01,0.883 ± 0.206,0.916 ± 0.092,0.98 ± 0.031,0.877 ± 0.123,0.155 ± 0.047,0.785 ± 0.113,0.0 ± 0.0,0.078 ± 0.049,0.933 ± 0.052
NAS,1.0 ± 0.0,1.0 ± 0.0,0.948 ± 0.056,0.9 ± 0.078,0.932 ± 0.07,0.909 ± 0.079,0.971 ± 0.035,0.918 ± 0.087,1.0 ± 0.0,0.771 ± 0.036,0.78 ± 0.021,0.714 ± 0.021,0.678 ± 0.027,0.312 ± 0.079,0.996 ± 0.013,1.0 ± 0.0,0.997 ± 0.007,0.915 ± 0.162,0.944 ± 0.066,0.989 ± 0.018,0.918 ± 0.082,0.182 ± 0.055,0.794 ± 0.097,0.0 ± 0.0,0.069 ± 0.068,0.475 ± 0.027
Precision LAS,0.954 ± 0.031,0.962 ± 0.014,0.857 ± 0.068,0.794 ± 0.06,0.839 ± 0.099,0.803 ± 0.088,0.837 ± 0.058,0.786 ± 0.066,0.911 ± 0.012,0.91 ± 0.06,0.703 ± 0.041,0.631 ± 0.036,0.924 ± 0.055,0.929 ± 0.073,0.687 ± 0.03,0.845 ± 0.043,0.871 ± 0.043,0.471 ± 0.079,0.534 ± 0.096,0.724 ± 0.05,0.48 ± 0.069,0.26 ± 0.04,0.695 ± 0.04,0.875 ± 0.076,0.89 ± 0.071,0.908 ± 0.056
Recall LAS,0.956 ± 0.031,0.962 ± 0.014,0.812 ± 0.113,0.718 ± 0.091,0.898 ± 0.065,0.873 ± 0.062,0.849 ± 0.054,0.697 ± 0.103,0.914 ± 0.016,0.953 ± 0.023,0.963 ± 0.025,0.963 ± 0.025,0.723 ± 0.047,0.518 ± 0.052,0.686 ± 0.03,0.845 ± 0.043,0.872 ± 0.043,0.473 ± 0.078,0.536 ± 0.094,0.725 ± 0.05,0.48 ± 0.069,0.259 ± 0.031,0.574 ± 0.059,0.936 ± 0.029,0.934 ± 0.032,0.948 ± 0.027
LAS,0.955 ± 0.031,0.962 ± 0.014,0.833 ± 0.092,0.754 ± 0.076,0.866 ± 0.078,0.835 ± 0.069,0.843 ± 0.052,0.737 ± 0.086,0.913 ± 0.013,0.931 ± 0.042,0.813 ± 0.036,0.762 ± 0.034,0.81 ± 0.043,0.664 ± 0.053,0.686 ± 0.03,0.845 ± 0.043,0.871 ± 0.043,0.472 ± 0.079,0.535 ± 0.095,0.724 ± 0.05,0.48 ± 0.069,0.259 ± 0.034,0.628 ± 0.047,0.904 ± 0.054,0.911 ± 0.053,0.928 ± 0.041
