Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.862 ± 0.011,0.861 ± 0.011,0.985 ± 0.001,0.925 ± 0.006,0.923 ± 0.006,0.925 ± 0.006,0.925 ± 0.006,0.861 ± 0.022
2,0.755 ± 0.008,0.753 ± 0.008,0.970 ± 0.001,0.858 ± 0.008,0.856 ± 0.008,0.858 ± 0.008,0.858 ± 0.008,0.804 ± 0.041
3,0.674 ± 0.019,0.673 ± 0.019,0.956 ± 0.003,0.804 ± 0.014,0.802 ± 0.015,0.804 ± 0.014,0.804 ± 0.014,0.736 ± 0.064
4,0.605 ± 0.018,0.603 ± 0.018,0.942 ± 0.002,0.752 ± 0.014,0.749 ± 0.014,0.752 ± 0.014,0.752 ± 0.014,0.641 ± 0.105
5,0.549 ± 0.018,0.547 ± 0.018,0.927 ± 0.003,0.708 ± 0.014,0.704 ± 0.015,0.708 ± 0.014,0.708 ± 0.014,0.582 ± 0.080
6,0.506 ± 0.023,0.504 ± 0.023,0.914 ± 0.004,0.671 ± 0.018,0.667 ± 0.019,0.671 ± 0.018,0.671 ± 0.018,0.543 ± 0.078
7,0.468 ± 0.022,0.466 ± 0.022,0.901 ± 0.005,0.636 ± 0.020,0.633 ± 0.021,0.636 ± 0.020,0.636 ± 0.020,0.527 ± 0.078
8,0.434 ± 0.025,0.432 ± 0.025,0.889 ± 0.007,0.603 ± 0.023,0.600 ± 0.024,0.603 ± 0.023,0.603 ± 0.023,0.494 ± 0.074
9,0.404 ± 0.025,0.402 ± 0.025,0.876 ± 0.007,0.574 ± 0.024,0.570 ± 0.024,0.574 ± 0.024,0.574 ± 0.024,0.428 ± 0.127
10,0.381 ± 0.022,0.379 ± 0.022,0.865 ± 0.008,0.549 ± 0.023,0.546 ± 0.023,0.549 ± 0.023,0.549 ± 0.023,0.427 ± 0.134
