Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.852 ± 0.014,0.851 ± 0.015,0.915 ± 0.005,0.919 ± 0.008,0.918 ± 0.008,0.919 ± 0.008,0.919 ± 0.008,0.891 ± 0.016
2,0.745 ± 0.027,0.744 ± 0.026,0.863 ± 0.001,0.852 ± 0.017,0.849 ± 0.018,0.852 ± 0.017,0.852 ± 0.017,0.837 ± 0.016
3,0.663 ± 0.025,0.661 ± 0.025,0.822 ± 0.034,0.796 ± 0.016,0.794 ± 0.016,0.796 ± 0.016,0.796 ± 0.016,0.750 ± 0.036
4,0.596 ± 0.023,0.594 ± 0.023,0.806 ± 0.033,0.746 ± 0.015,0.742 ± 0.016,0.746 ± 0.015,0.746 ± 0.015,0.674 ± 0.007
5,0.542 ± 0.023,0.540 ± 0.023,0.785 ± 0.027,0.702 ± 0.018,0.699 ± 0.019,0.702 ± 0.018,0.702 ± 0.018,0.605 ± 0.003
6,0.499 ± 0.019,0.497 ± 0.020,0.773 ± 0.021,0.665 ± 0.016,0.661 ± 0.016,0.665 ± 0.016,0.665 ± 0.016,0.553 ± 0.045
7,0.461 ± 0.020,0.460 ± 0.021,0.750 ± 0.030,0.630 ± 0.017,0.626 ± 0.017,0.630 ± 0.017,0.630 ± 0.017,0.461 ± 0.042
8,0.431 ± 0.021,0.429 ± 0.021,0.743 ± 0.028,0.600 ± 0.020,0.596 ± 0.020,0.600 ± 0.020,0.600 ± 0.020,0.325 ± 0.059
9,0.402 ± 0.021,0.400 ± 0.021,0.728 ± 0.025,0.571 ± 0.021,0.568 ± 0.022,0.571 ± 0.021,0.571 ± 0.021,0.185 ± 0.014
10,0.377 ± 0.019,0.374 ± 0.019,0.717 ± 0.023,0.545 ± 0.020,0.541 ± 0.020,0.545 ± 0.020,0.545 ± 0.020,0.111 ± 0.059
