Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.862 ± 0.011,0.854 ± 0.011,0.982 ± 0.004,0.926 ± 0.004,0.909 ± 0.006,0.926 ± 0.004,0.926 ± 0.004,0.905 ± 0.046
2,0.764 ± 0.017,0.756 ± 0.018,0.964 ± 0.002,0.867 ± 0.008,0.850 ± 0.010,0.867 ± 0.008,0.867 ± 0.008,0.852 ± 0.047
3,0.681 ± 0.017,0.673 ± 0.018,0.950 ± 0.004,0.809 ± 0.011,0.794 ± 0.013,0.809 ± 0.011,0.809 ± 0.011,0.799 ± 0.083
4,0.611 ± 0.021,0.604 ± 0.021,0.934 ± 0.006,0.757 ± 0.016,0.741 ± 0.017,0.757 ± 0.016,0.757 ± 0.016,0.720 ± 0.083
5,0.551 ± 0.022,0.545 ± 0.023,0.919 ± 0.006,0.710 ± 0.019,0.695 ± 0.021,0.710 ± 0.019,0.710 ± 0.019,0.715 ± 0.054
6,0.505 ± 0.021,0.498 ± 0.022,0.903 ± 0.006,0.670 ± 0.018,0.655 ± 0.020,0.670 ± 0.018,0.670 ± 0.018,0.659 ± 0.045
7,0.467 ± 0.017,0.461 ± 0.018,0.891 ± 0.006,0.636 ± 0.016,0.621 ± 0.017,0.636 ± 0.016,0.636 ± 0.016,0.643 ± 0.091
8,0.433 ± 0.016,0.427 ± 0.016,0.877 ± 0.008,0.603 ± 0.016,0.590 ± 0.017,0.603 ± 0.016,0.603 ± 0.016,0.624 ± 0.074
9,0.404 ± 0.014,0.399 ± 0.014,0.865 ± 0.008,0.575 ± 0.015,0.560 ± 0.016,0.575 ± 0.015,0.575 ± 0.015,0.552 ± 0.076
10,0.378 ± 0.016,0.373 ± 0.016,0.853 ± 0.009,0.548 ± 0.018,0.534 ± 0.018,0.548 ± 0.018,0.548 ± 0.018,0.498 ± 0.117
