Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.867 ± 0.001,0.859 ± 0.001,0.955 ± 0.043,0.929 ± 0.001,0.913 ± 0.001,0.929 ± 0.001,0.929 ± 0.001,0.901 ± 0.032
2,0.764 ± 0.017,0.753 ± 0.023,0.921 ± 0.068,0.869 ± 0.011,0.844 ± 0.023,0.869 ± 0.011,0.869 ± 0.011,0.854 ± 0.033
3,0.688 ± 0.018,0.671 ± 0.024,0.904 ± 0.074,0.817 ± 0.013,0.780 ± 0.025,0.817 ± 0.013,0.817 ± 0.013,0.742 ± 0.012
4,0.619 ± 0.026,0.599 ± 0.031,0.872 ± 0.069,0.767 ± 0.021,0.720 ± 0.033,0.767 ± 0.021,0.767 ± 0.021,0.701 ± 0.047
5,0.566 ± 0.029,0.542 ± 0.034,0.846 ± 0.083,0.724 ± 0.025,0.666 ± 0.037,0.724 ± 0.025,0.724 ± 0.025,0.655 ± 0.086
6,0.515 ± 0.030,0.489 ± 0.034,0.832 ± 0.078,0.681 ± 0.025,0.615 ± 0.037,0.681 ± 0.025,0.681 ± 0.025,0.596 ± 0.180
7,0.479 ± 0.029,0.454 ± 0.033,0.819 ± 0.074,0.648 ± 0.025,0.586 ± 0.036,0.648 ± 0.025,0.648 ± 0.025,0.542 ± 0.202
8,0.442 ± 0.028,0.417 ± 0.034,0.803 ± 0.072,0.613 ± 0.025,0.547 ± 0.043,0.613 ± 0.025,0.613 ± 0.025,0.494 ± 0.242
9,0.414 ± 0.027,0.391 ± 0.033,0.794 ± 0.069,0.585 ± 0.025,0.523 ± 0.042,0.585 ± 0.025,0.585 ± 0.025,0.433 ± 0.213
10,0.387 ± 0.027,0.366 ± 0.032,0.783 ± 0.066,0.557 ± 0.027,0.498 ± 0.042,0.557 ± 0.027,0.557 ± 0.027,0.355 ± 0.260
