Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.896,0.895,0.989,0.942,0.941,0.942,0.942,0.941
2,0.814,0.813,0.979,0.895,0.894,0.895,0.895,0.848
3,0.744,0.742,0.968,0.849,0.848,0.849,0.849,0.769
4,0.686,0.685,0.959,0.811,0.809,0.811,0.811,0.768
5,0.625,0.624,0.946,0.768,0.766,0.768,0.768,0.776
6,0.579,0.577,0.935,0.732,0.73,0.732,0.732,0.718
7,0.542,0.54,0.926,0.703,0.7,0.703,0.703,0.691
8,0.504,0.503,0.914,0.67,0.667,0.67,0.67,0.628
9,0.474,0.473,0.904,0.643,0.64,0.643,0.643,0.648
10,0.45,0.448,0.895,0.62,0.617,0.62,0.62,0.574
