Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.862,0.861,0.919,0.925,0.924,0.925,0.925,0.902
2,0.764,0.762,0.863,0.864,0.862,0.864,0.864,0.825
3,0.681,0.679,0.798,0.807,0.805,0.807,0.807,0.725
4,0.612,0.61,0.783,0.756,0.753,0.756,0.756,0.669
5,0.559,0.557,0.766,0.715,0.712,0.715,0.715,0.607
6,0.513,0.511,0.758,0.676,0.672,0.676,0.676,0.585
7,0.475,0.474,0.729,0.642,0.638,0.642,0.642,0.491
8,0.446,0.444,0.723,0.614,0.61,0.614,0.614,0.283
9,0.417,0.415,0.711,0.586,0.583,0.586,0.586,0.175
10,0.39,0.388,0.701,0.559,0.555,0.559,0.559,0.069
