Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.87,0.862,0.984,0.929,0.914,0.929,0.929,0.937
2,0.776,0.769,0.966,0.872,0.857,0.872,0.872,0.885
3,0.693,0.686,0.952,0.817,0.803,0.817,0.817,0.858
4,0.626,0.619,0.938,0.768,0.753,0.768,0.768,0.779
5,0.567,0.561,0.923,0.723,0.709,0.723,0.723,0.753
6,0.52,0.514,0.908,0.683,0.669,0.683,0.683,0.691
7,0.479,0.473,0.895,0.647,0.633,0.647,0.647,0.707
8,0.444,0.439,0.883,0.615,0.602,0.615,0.615,0.676
9,0.414,0.409,0.87,0.585,0.572,0.585,0.585,0.606
10,0.389,0.384,0.859,0.56,0.547,0.56,0.56,0.581
