Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.866,0.858,0.924,0.929,0.914,0.929,0.929,0.923
2,0.776,0.769,0.873,0.876,0.86,0.876,0.876,0.877
3,0.7,0.688,0.852,0.826,0.798,0.826,0.826,0.751
4,0.638,0.621,0.823,0.782,0.743,0.782,0.782,0.734
5,0.586,0.566,0.787,0.741,0.692,0.741,0.741,0.716
6,0.536,0.513,0.776,0.699,0.642,0.699,0.699,0.723
7,0.499,0.477,0.766,0.666,0.611,0.666,0.666,0.684
8,0.461,0.441,0.752,0.63,0.578,0.63,0.63,0.665
9,0.433,0.414,0.746,0.603,0.553,0.603,0.603,0.584
10,0.406,0.388,0.736,0.576,0.528,0.576,0.576,0.539
