Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_C1_LCT0,VCS_C1_LCT1
A1-A2,0.490 ± 0.092,0.160 ± 0.051,0.394 ± 0.071,0.614 ± 0.064,0.081 ± 0.034,0.419 ± 0.058,0.572 ± 0.069,0.829 ± 0.064,0.884 ± 0.049
A1-A3,0.603 ± 0.049,0.195 ± 0.049,0.508 ± 0.068,0.693 ± 0.049,0.094 ± 0.044,0.487 ± 0.075,0.664 ± 0.046,0.818 ± 0.112,0.907 ± 0.045
A1-A4,0.529 ± 0.192,0.201 ± 0.138,0.427 ± 0.132,0.639 ± 0.127,0.112 ± 0.081,0.466 ± 0.126,0.608 ± 0.125,0.728 ± 0.186,0.800 ± 0.167
A2-A1,0.507 ± 0.076,0.165 ± 0.047,0.471 ± 0.049,0.614 ± 0.064,0.081 ± 0.034,0.419 ± 0.058,0.578 ± 0.056,0.829 ± 0.064,0.884 ± 0.049
A2-A3,0.533 ± 0.032,0.138 ± 0.030,0.489 ± 0.011,0.649 ± 0.012,0.056 ± 0.018,0.409 ± 0.046,0.614 ± 0.010,0.808 ± 0.067,0.904 ± 0.022
A2-A4,0.562 ± 0.056,0.150 ± 0.046,0.443 ± 0.054,0.643 ± 0.039,0.065 ± 0.023,0.410 ± 0.051,0.603 ± 0.022,0.741 ± 0.054,0.853 ± 0.090
A3-A1,0.602 ± 0.044,0.194 ± 0.048,0.486 ± 0.022,0.693 ± 0.049,0.094 ± 0.044,0.487 ± 0.075,0.661 ± 0.055,0.818 ± 0.112,0.907 ± 0.045
A3-A2,0.512 ± 0.041,0.133 ± 0.031,0.388 ± 0.020,0.649 ± 0.012,0.056 ± 0.018,0.409 ± 0.046,0.605 ± 0.010,0.808 ± 0.067,0.904 ± 0.022
A3-A4,0.534 ± 0.105,0.188 ± 0.079,0.418 ± 0.072,0.664 ± 0.072,0.105 ± 0.047,0.448 ± 0.085,0.628 ± 0.071,0.770 ± 0.114,0.843 ± 0.121
A4-A1,0.548 ± 0.162,0.204 ± 0.135,0.469 ± 0.094,0.639 ± 0.127,0.112 ± 0.081,0.466 ± 0.126,0.612 ± 0.126,0.728 ± 0.186,0.800 ± 0.167
A4-A2,0.561 ± 0.055,0.150 ± 0.045,0.412 ± 0.037,0.643 ± 0.039,0.065 ± 0.023,0.410 ± 0.051,0.601 ± 0.029,0.741 ± 0.054,0.853 ± 0.090
A4-A3,0.553 ± 0.090,0.193 ± 0.076,0.490 ± 0.070,0.664 ± 0.072,0.105 ± 0.047,0.448 ± 0.085,0.631 ± 0.079,0.770 ± 0.114,0.843 ± 0.121
