Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.476 ± 0.077,0.126 ± 0.045,0.379 ± 0.058,0.601 ± 0.054,0.051 ± 0.027,0.414 ± 0.059,0.566 ± 0.054,0.790 ± 0.108,0.851 ± 0.080
A1-A3,0.818 ± 0.144,0.592 ± 0.284,0.741 ± 0.174,0.862 ± 0.115,0.502 ± 0.323,0.786 ± 0.183,0.849 ± 0.127,0.893 ± 0.078,0.929 ± 0.056
A1-A4,0.777 ± 0.185,0.555 ± 0.299,0.705 ± 0.210,0.838 ± 0.140,0.475 ± 0.322,0.753 ± 0.210,0.824 ± 0.151,0.870 ± 0.109,0.911 ± 0.086
A2-A1,0.495 ± 0.066,0.130 ± 0.044,0.456 ± 0.045,0.601 ± 0.054,0.051 ± 0.027,0.414 ± 0.059,0.566 ± 0.054,0.790 ± 0.108,0.851 ± 0.080
A2-A3,0.494 ± 0.064,0.133 ± 0.045,0.456 ± 0.049,0.606 ± 0.055,0.055 ± 0.029,0.416 ± 0.058,0.574 ± 0.054,0.772 ± 0.117,0.836 ± 0.088
A2-A4,0.511 ± 0.066,0.140 ± 0.046,0.455 ± 0.048,0.613 ± 0.053,0.057 ± 0.029,0.421 ± 0.057,0.580 ± 0.053,0.780 ± 0.112,0.843 ± 0.085
A3-A1,0.816 ± 0.147,0.591 ± 0.285,0.725 ± 0.186,0.862 ± 0.115,0.502 ± 0.323,0.786 ± 0.183,0.850 ± 0.127,0.893 ± 0.078,0.929 ± 0.056
A3-A2,0.473 ± 0.076,0.128 ± 0.045,0.368 ± 0.053,0.606 ± 0.055,0.055 ± 0.029,0.416 ± 0.058,0.575 ± 0.054,0.772 ± 0.117,0.836 ± 0.088
A3-A4,0.813 ± 0.193,0.639 ± 0.341,0.754 ± 0.234,0.868 ± 0.138,0.583 ± 0.381,0.785 ± 0.225,0.855 ± 0.152,0.899 ± 0.099,0.931 ± 0.074
A4-A1,0.781 ± 0.178,0.557 ± 0.297,0.716 ± 0.199,0.838 ± 0.140,0.475 ± 0.322,0.753 ± 0.210,0.825 ± 0.152,0.870 ± 0.109,0.911 ± 0.086
A4-A2,0.497 ± 0.077,0.136 ± 0.047,0.388 ± 0.062,0.613 ± 0.053,0.057 ± 0.029,0.421 ± 0.057,0.581 ± 0.053,0.780 ± 0.112,0.843 ± 0.085
A4-A3,0.820 ± 0.184,0.641 ± 0.339,0.782 ± 0.211,0.868 ± 0.138,0.583 ± 0.381,0.785 ± 0.225,0.855 ± 0.152,0.899 ± 0.099,0.931 ± 0.074
