Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.983,0.936,1.0,0.967,0.849,1.0,0.84,0.899
3,1.0,0.983,0.876,1.0,0.967,0.731,1.0,0.723,0.723
4,1.0,0.983,0.832,1.0,0.967,0.613,1.0,0.61,0.61
5,1.0,0.983,0.839,1.0,0.967,0.57,1.0,0.514,0.514
6,1.0,0.983,0.845,1.0,0.967,0.527,1.0,0.451,0.451
7,1.0,0.983,0.832,1.0,0.967,0.527,1.0,0.431,0.431
8,1.0,0.983,0.818,1.0,0.967,0.581,1.0,0.454,0.454
9,1.0,0.983,0.852,1.0,0.967,0.634,1.0,0.517,0.517
10,1.0,0.983,0.864,1.0,0.967,0.667,1.0,0.611,0.611
11,1.0,0.983,0.887,1.0,0.967,0.72,1.0,0.722,0.722
12,1.0,0.983,0.974,1.0,0.967,0.935,1.0,0.84,0.899
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
