Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Adjacent Neighbor Swap,Rotate Half Paragraph
BLEU-1,0.858 ± 0.059,0.790 ± 0.062,0.523 ± 0.176,0.312 ± 0.127,0.682 ± 0.096,0.558 ± 0.074,0.590 ± 0.075,0.409 ± 0.142,0.684 ± 0.044,0.579 ± 0.033,0.470 ± 0.032,0.383 ± 0.096,0.032 ± 0.032,0.479 ± 0.030,0.329 ± 0.025,0.098 ± 0.036,0.999 ± 0.002,0.995 ± 0.009,0.999 ± 0.002
BLEU-4,0.690 ± 0.127,0.517 ± 0.141,0.336 ± 0.199,0.151 ± 0.108,0.391 ± 0.172,0.263 ± 0.094,0.280 ± 0.091,0.171 ± 0.104,0.620 ± 0.058,0.574 ± 0.034,0.465 ± 0.033,0.377 ± 0.094,0.032 ± 0.032,0.088 ± 0.034,0.007 ± 0.004,0.027 ± 0.012,0.922 ± 0.014,0.915 ± 0.022,0.995 ± 0.003
METEOR,0.897 ± 0.043,0.847 ± 0.067,0.521 ± 0.175,0.354 ± 0.090,0.714 ± 0.115,0.641 ± 0.074,0.609 ± 0.059,0.377 ± 0.102,0.859 ± 0.030,0.833 ± 0.028,0.804 ± 0.027,0.470 ± 0.060,0.200 ± 0.053,0.477 ± 0.059,0.226 ± 0.013,0.190 ± 0.028,0.600 ± 0.021,0.841 ± 0.021,0.630 ± 0.032
ROUGE-1,0.866 ± 0.057,0.886 ± 0.033,0.737 ± 0.108,0.609 ± 0.090,0.787 ± 0.075,0.705 ± 0.066,0.715 ± 0.054,0.628 ± 0.101,0.810 ± 0.031,0.731 ± 0.025,0.638 ± 0.029,0.665 ± 0.059,0.343 ± 0.070,0.501 ± 0.030,0.349 ± 0.024,0.397 ± 0.050,0.990 ± 0.006,0.988 ± 0.008,0.990 ± 0.006
ROUGE-4,0.573 ± 0.172,0.403 ± 0.163,0.306 ± 0.195,0.152 ± 0.101,0.282 ± 0.189,0.174 ± 0.088,0.183 ± 0.085,0.121 ± 0.081,0.667 ± 0.066,0.705 ± 0.030,0.614 ± 0.031,0.633 ± 0.063,0.317 ± 0.078,0.019 ± 0.016,0.000 ± 0.001,0.034 ± 0.014,0.826 ± 0.024,0.819 ± 0.034,0.965 ± 0.018
ROUGE-L,0.863 ± 0.059,0.737 ± 0.087,0.690 ± 0.130,0.534 ± 0.107,0.710 ± 0.104,0.612 ± 0.088,0.601 ± 0.072,0.494 ± 0.117,0.809 ± 0.032,0.729 ± 0.025,0.636 ± 0.029,0.663 ± 0.058,0.343 ± 0.070,0.461 ± 0.043,0.149 ± 0.009,0.293 ± 0.050,0.237 ± 0.015,0.649 ± 0.013,0.538 ± 0.018
ROUGE-Lsum,0.865 ± 0.058,0.835 ± 0.048,0.724 ± 0.113,0.592 ± 0.093,0.768 ± 0.080,0.684 ± 0.070,0.691 ± 0.055,0.600 ± 0.105,0.810 ± 0.031,0.731 ± 0.025,0.638 ± 0.029,0.665 ± 0.059,0.343 ± 0.070,0.494 ± 0.031,0.336 ± 0.020,0.377 ± 0.048,0.961 ± 0.027,0.970 ± 0.025,0.989 ± 0.007
VCS_C1_LCT0,0.945 ± 0.038,0.934 ± 0.053,0.902 ± 0.087,0.808 ± 0.116,0.913 ± 0.050,0.875 ± 0.047,0.900 ± 0.052,0.861 ± 0.071,0.865 ± 0.040,0.726 ± 0.083,0.610 ± 0.121,0.626 ± 0.063,0.000 ± 0.000,0.022 ± 0.057,0.000 ± 0.000,0.682 ± 0.182,0.000 ± 0.000,0.007 ± 0.014,0.424 ± 0.018
VCS_C1_LCT1,0.958 ± 0.043,0.963 ± 0.028,0.938 ± 0.052,0.884 ± 0.076,0.937 ± 0.033,0.895 ± 0.044,0.928 ± 0.044,0.900 ± 0.055,0.868 ± 0.037,0.745 ± 0.080,0.628 ± 0.115,0.675 ± 0.073,0.015 ± 0.027,0.025 ± 0.062,0.000 ± 0.000,0.744 ± 0.145,0.427 ± 0.022,0.758 ± 0.066,0.427 ± 0.021
