Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.831 ± 0.085,0.798 ± 0.057,0.383 ± 0.145,0.234 ± 0.118,0.665 ± 0.089,0.557 ± 0.072,0.572 ± 0.089,0.340 ± 0.129,0.695 ± 0.065,0.661 ± 0.021,0.539 ± 0.069,0.437 ± 0.070,0.389 ± 0.071,0.037 ± 0.028,0.837 ± 0.057,0.877 ± 0.036,0.813 ± 0.039,0.641 ± 0.095,0.563 ± 0.069,0.661 ± 0.052,0.494 ± 0.046,0.322 ± 0.029,0.081 ± 0.054,0.997 ± 0.005,0.997 ± 0.005,0.997 ± 0.005
BLEU-4,0.632 ± 0.157,0.528 ± 0.108,0.186 ± 0.115,0.094 ± 0.070,0.365 ± 0.143,0.255 ± 0.091,0.251 ± 0.107,0.131 ± 0.083,0.625 ± 0.083,0.647 ± 0.025,0.535 ± 0.069,0.433 ± 0.070,0.384 ± 0.071,0.036 ± 0.027,0.683 ± 0.090,0.723 ± 0.076,0.567 ± 0.078,0.310 ± 0.131,0.194 ± 0.093,0.296 ± 0.087,0.105 ± 0.046,0.007 ± 0.003,0.022 ± 0.021,0.902 ± 0.036,0.904 ± 0.037,0.992 ± 0.010
METEOR,0.881 ± 0.071,0.870 ± 0.053,0.392 ± 0.111,0.295 ± 0.082,0.697 ± 0.111,0.632 ± 0.086,0.587 ± 0.088,0.334 ± 0.090,0.863 ± 0.044,0.767 ± 0.070,0.826 ± 0.024,0.794 ± 0.029,0.471 ± 0.046,0.210 ± 0.037,0.882 ± 0.038,0.897 ± 0.032,0.853 ± 0.039,0.670 ± 0.103,0.579 ± 0.087,0.701 ± 0.061,0.502 ± 0.063,0.232 ± 0.015,0.177 ± 0.045,0.589 ± 0.032,0.644 ± 0.034,0.632 ± 0.037
ROUGE-1,0.840 ± 0.081,0.897 ± 0.031,0.640 ± 0.096,0.541 ± 0.092,0.773 ± 0.068,0.699 ± 0.060,0.695 ± 0.071,0.581 ± 0.093,0.818 ± 0.046,0.791 ± 0.016,0.697 ± 0.059,0.604 ± 0.070,0.670 ± 0.043,0.360 ± 0.053,0.860 ± 0.046,0.882 ± 0.035,0.826 ± 0.036,0.656 ± 0.091,0.581 ± 0.066,0.678 ± 0.050,0.514 ± 0.044,0.346 ± 0.027,0.372 ± 0.070,0.990 ± 0.009,0.990 ± 0.009,0.990 ± 0.009
ROUGE-4,0.503 ± 0.188,0.410 ± 0.126,0.157 ± 0.102,0.089 ± 0.062,0.256 ± 0.151,0.164 ± 0.089,0.153 ± 0.100,0.095 ± 0.067,0.663 ± 0.093,0.743 ± 0.037,0.673 ± 0.061,0.584 ± 0.070,0.642 ± 0.048,0.334 ± 0.055,0.579 ± 0.109,0.602 ± 0.101,0.406 ± 0.090,0.163 ± 0.105,0.077 ± 0.069,0.144 ± 0.073,0.025 ± 0.020,0.000 ± 0.000,0.029 ± 0.023,0.792 ± 0.066,0.796 ± 0.066,0.962 ± 0.027
ROUGE-L,0.835 ± 0.084,0.754 ± 0.065,0.556 ± 0.112,0.456 ± 0.098,0.697 ± 0.100,0.606 ± 0.084,0.576 ± 0.096,0.452 ± 0.100,0.816 ± 0.047,0.789 ± 0.016,0.696 ± 0.060,0.603 ± 0.070,0.669 ± 0.043,0.360 ± 0.053,0.856 ± 0.045,0.878 ± 0.036,0.810 ± 0.042,0.643 ± 0.100,0.546 ± 0.077,0.652 ± 0.057,0.472 ± 0.054,0.153 ± 0.010,0.274 ± 0.064,0.231 ± 0.023,0.365 ± 0.046,0.535 ± 0.032
ROUGE-Lsum,0.838 ± 0.082,0.847 ± 0.041,0.621 ± 0.100,0.521 ± 0.094,0.760 ± 0.073,0.684 ± 0.063,0.675 ± 0.074,0.554 ± 0.093,0.818 ± 0.046,0.790 ± 0.016,0.697 ± 0.059,0.604 ± 0.070,0.670 ± 0.043,0.360 ± 0.053,0.859 ± 0.046,0.881 ± 0.035,0.823 ± 0.037,0.654 ± 0.093,0.575 ± 0.067,0.673 ± 0.051,0.507 ± 0.045,0.335 ± 0.027,0.352 ± 0.068,0.967 ± 0.024,0.977 ± 0.019,0.988 ± 0.011
VCS_LCT0,0.937 ± 0.071,0.951 ± 0.037,0.860 ± 0.088,0.800 ± 0.101,0.921 ± 0.046,0.875 ± 0.055,0.885 ± 0.059,0.810 ± 0.106,0.864 ± 0.047,0.713 ± 0.057,0.691 ± 0.068,0.534 ± 0.141,0.622 ± 0.049,0.019 ± 0.049,0.581 ± 0.171,0.839 ± 0.072,0.952 ± 0.039,0.106 ± 0.148,0.223 ± 0.211,0.726 ± 0.124,0.050 ± 0.102,0.000 ± 0.000,0.624 ± 0.181,0.001 ± 0.008,0.034 ± 0.044,0.429 ± 0.028
VCS_LCT1,0.941 ± 0.071,0.967 ± 0.026,0.905 ± 0.058,0.863 ± 0.065,0.935 ± 0.039,0.887 ± 0.050,0.903 ± 0.052,0.869 ± 0.069,0.868 ± 0.045,0.756 ± 0.041,0.705 ± 0.070,0.549 ± 0.143,0.683 ± 0.046,0.067 ± 0.103,0.585 ± 0.168,0.840 ± 0.071,0.956 ± 0.037,0.111 ± 0.150,0.233 ± 0.212,0.730 ± 0.121,0.054 ± 0.105,0.000 ± 0.000,0.735 ± 0.124,0.436 ± 0.024,0.152 ± 0.076,0.430 ± 0.028
