Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.948 ± 0.013,0.948 ± 0.013,0.950 ± 0.013,0.974 ± 0.005,0.973 ± 0.004,0.974 ± 0.005,0.974 ± 0.005,0.956 ± 0.011
2,0.840 ± 0.066,0.840 ± 0.066,0.861 ± 0.051,0.919 ± 0.030,0.918 ± 0.031,0.919 ± 0.030,0.919 ± 0.030,0.908 ± 0.023
3,0.782 ± 0.055,0.782 ± 0.055,0.815 ± 0.039,0.891 ± 0.025,0.889 ± 0.026,0.891 ± 0.025,0.891 ± 0.025,0.798 ± 0.023
4,0.719 ± 0.084,0.719 ± 0.084,0.769 ± 0.055,0.859 ± 0.040,0.857 ± 0.040,0.859 ± 0.040,0.859 ± 0.040,0.731 ± 0.031
5,0.608 ± 0.074,0.608 ± 0.074,0.690 ± 0.046,0.802 ± 0.035,0.798 ± 0.036,0.802 ± 0.035,0.802 ± 0.035,0.659 ± 0.082
6,0.454 ± 0.060,0.454 ± 0.060,0.588 ± 0.034,0.720 ± 0.030,0.714 ± 0.031,0.720 ± 0.030,0.720 ± 0.030,0.527 ± 0.088
7,0.318 ± 0.050,0.318 ± 0.050,0.497 ± 0.028,0.641 ± 0.027,0.633 ± 0.029,0.641 ± 0.027,0.641 ± 0.027,0.360 ± 0.059
8,0.164 ± 0.057,0.164 ± 0.057,0.383 ± 0.047,0.532 ± 0.042,0.520 ± 0.045,0.532 ± 0.042,0.532 ± 0.042,0.057 ± 0.081
9,0.083 ± 0.004,0.083 ± 0.004,0.311 ± 0.004,0.456 ± 0.009,0.441 ± 0.008,0.456 ± 0.009,0.456 ± 0.009,0.000 ± 0.000
10,0.005 ± 0.004,0.005 ± 0.004,0.178 ± 0.020,0.280 ± 0.033,0.259 ± 0.033,0.280 ± 0.033,0.280 ± 0.033,0.000 ± 0.000
