Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.883 ± 0.029,0.883 ± 0.029,0.821 ± 0.020,0.939 ± 0.019,0.938 ± 0.019,0.939 ± 0.019,0.939 ± 0.019,0.933 ± 0.053
2,0.827 ± 0.018,0.827 ± 0.018,0.756 ± 0.039,0.911 ± 0.013,0.909 ± 0.013,0.911 ± 0.013,0.911 ± 0.013,0.877 ± 0.080
3,0.670 ± 0.004,0.670 ± 0.004,0.607 ± 0.046,0.827 ± 0.006,0.823 ± 0.006,0.827 ± 0.006,0.827 ± 0.006,0.803 ± 0.114
4,0.576 ± 0.062,0.576 ± 0.062,0.534 ± 0.001,0.778 ± 0.030,0.773 ± 0.030,0.778 ± 0.030,0.778 ± 0.030,0.682 ± 0.040
5,0.418 ± 0.050,0.418 ± 0.050,0.435 ± 0.033,0.691 ± 0.025,0.684 ± 0.025,0.691 ± 0.025,0.691 ± 0.025,0.549 ± 0.022
6,0.283 ± 0.059,0.283 ± 0.059,0.344 ± 0.006,0.607 ± 0.035,0.599 ± 0.035,0.607 ± 0.035,0.607 ± 0.035,0.371 ± 0.055
7,0.137 ± 0.066,0.137 ± 0.066,0.259 ± 0.049,0.495 ± 0.056,0.482 ± 0.057,0.495 ± 0.056,0.495 ± 0.056,0.054 ± 0.076
8,0.055 ± 0.051,0.055 ± 0.051,0.192 ± 0.047,0.393 ± 0.078,0.377 ± 0.080,0.393 ± 0.078,0.393 ± 0.078,0.000 ± 0.000
9,0.021 ± 0.021,0.021 ± 0.021,0.147 ± 0.037,0.328 ± 0.057,0.309 ± 0.058,0.328 ± 0.057,0.328 ± 0.057,0.000 ± 0.000
10,0.006 ± 0.009,0.006 ± 0.009,0.101 ± 0.055,0.257 ± 0.078,0.234 ± 0.080,0.257 ± 0.078,0.257 ± 0.078,0.000 ± 0.000
