Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.903 ± 0.008,0.894 ± 0.007,0.909 ± 0.001,0.952 ± 0.004,0.933 ± 0.002,0.952 ± 0.004,0.952 ± 0.004,0.906 ± 0.053
2,0.776 ± 0.024,0.768 ± 0.023,0.812 ± 0.014,0.889 ± 0.012,0.869 ± 0.011,0.889 ± 0.012,0.889 ± 0.012,0.871 ± 0.063
3,0.635 ± 0.013,0.627 ± 0.012,0.698 ± 0.004,0.818 ± 0.007,0.795 ± 0.006,0.818 ± 0.007,0.818 ± 0.007,0.743 ± 0.058
4,0.517 ± 0.030,0.512 ± 0.032,0.623 ± 0.005,0.757 ± 0.017,0.735 ± 0.020,0.757 ± 0.017,0.757 ± 0.017,0.669 ± 0.038
5,0.416 ± 0.101,0.410 ± 0.100,0.550 ± 0.054,0.701 ± 0.058,0.673 ± 0.058,0.701 ± 0.058,0.701 ± 0.058,0.611 ± 0.050
6,0.343 ± 0.072,0.337 ± 0.071,0.507 ± 0.041,0.658 ± 0.044,0.629 ± 0.043,0.658 ± 0.044,0.658 ± 0.044,0.522 ± 0.018
7,0.168 ± 0.078,0.164 ± 0.076,0.370 ± 0.059,0.527 ± 0.069,0.492 ± 0.069,0.527 ± 0.069,0.527 ± 0.069,0.233 ± 0.112
8,0.112 ± 0.078,0.110 ± 0.078,0.324 ± 0.071,0.473 ± 0.087,0.438 ± 0.093,0.473 ± 0.087,0.473 ± 0.087,0.108 ± 0.153
9,0.068 ± 0.069,0.066 ± 0.067,0.265 ± 0.088,0.413 ± 0.107,0.376 ± 0.103,0.413 ± 0.107,0.413 ± 0.107,0.000 ± 0.000
10,0.007 ± 0.008,0.007 ± 0.008,0.181 ± 0.049,0.285 ± 0.062,0.236 ± 0.061,0.285 ± 0.062,0.285 ± 0.062,0.000 ± 0.000
