Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.927 ± 0.043,0.919 ± 0.042,0.927 ± 0.027,0.964 ± 0.021,0.947 ± 0.021,0.964 ± 0.021,0.964 ± 0.021,0.871 ± 0.004
2,0.833 ± 0.026,0.820 ± 0.033,0.851 ± 0.025,0.916 ± 0.010,0.887 ± 0.027,0.916 ± 0.010,0.916 ± 0.010,0.848 ± 0.054
3,0.757 ± 0.020,0.749 ± 0.021,0.790 ± 0.022,0.879 ± 0.008,0.857 ± 0.011,0.879 ± 0.008,0.879 ± 0.008,0.755 ± 0.016
4,0.677 ± 0.069,0.663 ± 0.074,0.726 ± 0.064,0.838 ± 0.033,0.799 ± 0.042,0.838 ± 0.033,0.838 ± 0.033,0.754 ± 0.062
5,0.539 ± 0.072,0.526 ± 0.075,0.635 ± 0.052,0.766 ± 0.035,0.724 ± 0.046,0.766 ± 0.035,0.766 ± 0.035,0.660 ± 0.083
6,0.426 ± 0.045,0.409 ± 0.051,0.566 ± 0.030,0.705 ± 0.023,0.643 ± 0.045,0.705 ± 0.023,0.705 ± 0.023,0.681 ± 0.149
7,0.329 ± 0.066,0.314 ± 0.062,0.496 ± 0.032,0.647 ± 0.036,0.584 ± 0.030,0.647 ± 0.036,0.647 ± 0.036,0.637 ± 0.029
8,0.232 ± 0.013,0.225 ± 0.009,0.407 ± 0.039,0.585 ± 0.004,0.540 ± 0.008,0.585 ± 0.004,0.585 ± 0.004,0.515 ± 0.086
9,0.121 ± 0.059,0.118 ± 0.059,0.322 ± 0.023,0.493 ± 0.053,0.455 ± 0.059,0.493 ± 0.053,0.493 ± 0.053,0.155 ± 0.220
10,0.017 ± 0.018,0.017 ± 0.018,0.178 ± 0.034,0.314 ± 0.062,0.281 ± 0.049,0.314 ± 0.062,0.314 ± 0.062,0.000 ± 0.000
