Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.958,0.958,0.959,0.977,0.976,0.977,0.977,0.964
2,0.886,0.886,0.897,0.941,0.94,0.941,0.941,0.924
3,0.821,0.821,0.842,0.909,0.907,0.909,0.909,0.815
4,0.778,0.778,0.808,0.887,0.885,0.887,0.887,0.753
5,0.66,0.66,0.722,0.827,0.824,0.827,0.827,0.717
6,0.496,0.496,0.612,0.741,0.736,0.741,0.741,0.59
7,0.353,0.353,0.517,0.66,0.653,0.66,0.66,0.318
8,0.205,0.205,0.416,0.562,0.552,0.562,0.562,0.0
9,0.08,0.08,0.308,0.449,0.435,0.449,0.449,0.0
10,0.003,0.003,0.164,0.257,0.236,0.257,0.257,0.0
