Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.903,0.903,0.835,0.952,0.951,0.952,0.952,0.971
2,0.839,0.839,0.784,0.921,0.919,0.921,0.921,0.933
3,0.673,0.673,0.64,0.831,0.828,0.831,0.831,0.884
4,0.532,0.532,0.535,0.757,0.752,0.757,0.757,0.711
5,0.383,0.383,0.458,0.673,0.667,0.673,0.673,0.565
6,0.241,0.241,0.348,0.583,0.574,0.583,0.583,0.41
7,0.09,0.09,0.224,0.455,0.442,0.455,0.455,0.0
8,0.019,0.019,0.158,0.338,0.32,0.338,0.338,0.0
9,0.006,0.006,0.121,0.287,0.268,0.287,0.287,0.0
10,0.0,0.0,0.062,0.201,0.178,0.201,0.201,0.0
