Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.908,0.899,0.909,0.955,0.935,0.955,0.955,0.944
2,0.793,0.784,0.822,0.898,0.877,0.898,0.898,0.915
3,0.644,0.635,0.696,0.823,0.799,0.823,0.823,0.784
4,0.538,0.534,0.627,0.769,0.749,0.769,0.769,0.696
5,0.488,0.481,0.588,0.742,0.714,0.742,0.742,0.646
6,0.394,0.387,0.536,0.689,0.659,0.689,0.689,0.509
7,0.223,0.218,0.412,0.576,0.54,0.576,0.576,0.154
8,0.167,0.165,0.374,0.534,0.504,0.534,0.534,0.0
9,0.117,0.113,0.327,0.489,0.448,0.489,0.489,0.0
10,0.013,0.013,0.216,0.329,0.279,0.329,0.329,0.0
