Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.958,0.949,0.946,0.979,0.961,0.979,0.979,0.874
2,0.814,0.796,0.833,0.909,0.868,0.909,0.909,0.81
3,0.743,0.734,0.775,0.873,0.85,0.873,0.873,0.744
4,0.628,0.611,0.681,0.815,0.769,0.815,0.815,0.71
5,0.488,0.473,0.599,0.742,0.691,0.742,0.742,0.719
6,0.394,0.373,0.545,0.689,0.612,0.689,0.689,0.787
7,0.282,0.27,0.474,0.622,0.563,0.622,0.622,0.616
8,0.223,0.218,0.435,0.582,0.546,0.582,0.582,0.455
9,0.079,0.076,0.306,0.455,0.413,0.455,0.455,0.0
10,0.004,0.004,0.154,0.27,0.247,0.27,0.27,0.0
