Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.892 ± 0.008,0.892 ± 0.008,0.989 ± 0.001,0.944 ± 0.004,0.943 ± 0.004,0.944 ± 0.004,0.944 ± 0.004,0.901 ± 0.057
2,0.804 ± 0.016,0.803 ± 0.017,0.977 ± 0.003,0.892 ± 0.010,0.891 ± 0.011,0.892 ± 0.010,0.892 ± 0.010,0.863 ± 0.050
3,0.735 ± 0.015,0.734 ± 0.015,0.966 ± 0.004,0.849 ± 0.010,0.847 ± 0.011,0.849 ± 0.010,0.849 ± 0.010,0.775 ± 0.062
4,0.672 ± 0.015,0.671 ± 0.015,0.955 ± 0.005,0.806 ± 0.011,0.804 ± 0.011,0.806 ± 0.011,0.806 ± 0.011,0.727 ± 0.035
5,0.623 ± 0.017,0.622 ± 0.017,0.945 ± 0.006,0.770 ± 0.013,0.768 ± 0.013,0.770 ± 0.013,0.770 ± 0.013,0.687 ± 0.057
6,0.579 ± 0.018,0.578 ± 0.018,0.935 ± 0.007,0.736 ± 0.015,0.734 ± 0.015,0.736 ± 0.015,0.736 ± 0.015,0.658 ± 0.076
7,0.542 ± 0.021,0.541 ± 0.021,0.925 ± 0.008,0.705 ± 0.017,0.703 ± 0.018,0.705 ± 0.017,0.705 ± 0.017,0.633 ± 0.077
8,0.511 ± 0.020,0.509 ± 0.020,0.916 ± 0.009,0.679 ± 0.018,0.677 ± 0.018,0.679 ± 0.018,0.679 ± 0.018,0.591 ± 0.086
9,0.482 ± 0.021,0.481 ± 0.021,0.907 ± 0.010,0.653 ± 0.019,0.651 ± 0.019,0.653 ± 0.019,0.653 ± 0.019,0.608 ± 0.071
10,0.458 ± 0.021,0.456 ± 0.021,0.898 ± 0.011,0.630 ± 0.020,0.627 ± 0.020,0.630 ± 0.020,0.630 ± 0.020,0.566 ± 0.077
