Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.893 ± 0.009,0.893 ± 0.009,0.936 ± 0.004,0.945 ± 0.005,0.944 ± 0.005,0.945 ± 0.005,0.945 ± 0.005,0.933 ± 0.035
2,0.804 ± 0.014,0.803 ± 0.014,0.900 ± 0.022,0.894 ± 0.008,0.892 ± 0.008,0.894 ± 0.008,0.894 ± 0.008,0.872 ± 0.054
3,0.731 ± 0.018,0.730 ± 0.018,0.878 ± 0.033,0.848 ± 0.014,0.846 ± 0.014,0.848 ± 0.014,0.848 ± 0.014,0.826 ± 0.056
4,0.675 ± 0.020,0.673 ± 0.020,0.863 ± 0.031,0.808 ± 0.016,0.806 ± 0.016,0.808 ± 0.016,0.808 ± 0.016,0.737 ± 0.072
5,0.629 ± 0.021,0.627 ± 0.021,0.856 ± 0.035,0.774 ± 0.018,0.772 ± 0.018,0.774 ± 0.018,0.774 ± 0.018,0.693 ± 0.068
6,0.586 ± 0.020,0.585 ± 0.020,0.841 ± 0.030,0.741 ± 0.017,0.739 ± 0.017,0.741 ± 0.017,0.741 ± 0.017,0.593 ± 0.087
7,0.547 ± 0.023,0.546 ± 0.023,0.823 ± 0.024,0.709 ± 0.019,0.707 ± 0.019,0.709 ± 0.019,0.709 ± 0.019,0.491 ± 0.066
8,0.516 ± 0.023,0.514 ± 0.023,0.815 ± 0.025,0.683 ± 0.020,0.681 ± 0.020,0.683 ± 0.020,0.683 ± 0.020,0.367 ± 0.093
9,0.487 ± 0.022,0.486 ± 0.022,0.803 ± 0.026,0.658 ± 0.019,0.655 ± 0.020,0.658 ± 0.019,0.658 ± 0.019,0.287 ± 0.107
10,0.460 ± 0.020,0.459 ± 0.020,0.784 ± 0.036,0.632 ± 0.019,0.630 ± 0.020,0.632 ± 0.019,0.632 ± 0.019,0.201 ± 0.072
