Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.892 ± 0.010,0.886 ± 0.011,0.983 ± 0.005,0.944 ± 0.005,0.932 ± 0.006,0.944 ± 0.005,0.944 ± 0.005,0.913 ± 0.032
2,0.806 ± 0.006,0.800 ± 0.007,0.968 ± 0.008,0.894 ± 0.003,0.882 ± 0.004,0.894 ± 0.003,0.894 ± 0.003,0.829 ± 0.043
3,0.736 ± 0.006,0.730 ± 0.007,0.957 ± 0.008,0.849 ± 0.005,0.837 ± 0.006,0.849 ± 0.005,0.849 ± 0.005,0.827 ± 0.032
4,0.681 ± 0.009,0.676 ± 0.009,0.947 ± 0.007,0.812 ± 0.009,0.800 ± 0.009,0.812 ± 0.009,0.812 ± 0.009,0.795 ± 0.038
5,0.632 ± 0.011,0.626 ± 0.011,0.935 ± 0.008,0.776 ± 0.012,0.764 ± 0.012,0.776 ± 0.012,0.776 ± 0.012,0.771 ± 0.012
6,0.585 ± 0.014,0.579 ± 0.015,0.924 ± 0.009,0.740 ± 0.014,0.729 ± 0.015,0.740 ± 0.014,0.740 ± 0.014,0.678 ± 0.091
7,0.549 ± 0.015,0.544 ± 0.015,0.914 ± 0.011,0.711 ± 0.015,0.700 ± 0.016,0.711 ± 0.015,0.711 ± 0.015,0.642 ± 0.094
8,0.515 ± 0.015,0.510 ± 0.015,0.904 ± 0.009,0.682 ± 0.016,0.671 ± 0.016,0.682 ± 0.016,0.682 ± 0.016,0.572 ± 0.167
9,0.484 ± 0.015,0.479 ± 0.015,0.894 ± 0.009,0.654 ± 0.016,0.644 ± 0.017,0.654 ± 0.016,0.654 ± 0.016,0.532 ± 0.187
10,0.456 ± 0.013,0.452 ± 0.013,0.884 ± 0.009,0.629 ± 0.015,0.619 ± 0.016,0.629 ± 0.015,0.629 ± 0.015,0.502 ± 0.201
