Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.898 ± 0.013,0.893 ± 0.010,0.981 ± 0.011,0.946 ± 0.007,0.938 ± 0.003,0.946 ± 0.007,0.946 ± 0.007,0.868 ± 0.071
2,0.816 ± 0.013,0.809 ± 0.012,0.950 ± 0.026,0.899 ± 0.006,0.883 ± 0.004,0.899 ± 0.006,0.899 ± 0.006,0.845 ± 0.061
3,0.739 ± 0.017,0.728 ± 0.016,0.934 ± 0.031,0.850 ± 0.011,0.825 ± 0.009,0.850 ± 0.011,0.850 ± 0.011,0.819 ± 0.068
4,0.683 ± 0.018,0.668 ± 0.018,0.913 ± 0.024,0.812 ± 0.012,0.778 ± 0.012,0.812 ± 0.012,0.812 ± 0.012,0.755 ± 0.024
5,0.632 ± 0.018,0.618 ± 0.018,0.894 ± 0.025,0.774 ± 0.014,0.741 ± 0.014,0.774 ± 0.014,0.774 ± 0.014,0.672 ± 0.038
6,0.586 ± 0.019,0.571 ± 0.021,0.872 ± 0.018,0.739 ± 0.017,0.704 ± 0.022,0.739 ± 0.017,0.739 ± 0.017,0.637 ± 0.054
7,0.549 ± 0.020,0.533 ± 0.023,0.861 ± 0.019,0.708 ± 0.018,0.669 ± 0.025,0.708 ± 0.018,0.708 ± 0.018,0.622 ± 0.045
8,0.517 ± 0.021,0.499 ± 0.022,0.852 ± 0.020,0.681 ± 0.019,0.638 ± 0.021,0.681 ± 0.019,0.681 ± 0.019,0.530 ± 0.075
9,0.488 ± 0.022,0.470 ± 0.022,0.840 ± 0.025,0.656 ± 0.021,0.611 ± 0.021,0.656 ± 0.021,0.656 ± 0.021,0.467 ± 0.039
10,0.461 ± 0.024,0.443 ± 0.023,0.824 ± 0.021,0.631 ± 0.022,0.585 ± 0.020,0.631 ± 0.022,0.631 ± 0.022,0.355 ± 0.005
