Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.897,0.896,0.99,0.947,0.946,0.947,0.947,0.892
2,0.813,0.812,0.979,0.899,0.898,0.899,0.899,0.833
3,0.744,0.742,0.969,0.856,0.854,0.856,0.856,0.707
4,0.681,0.68,0.958,0.813,0.811,0.813,0.813,0.715
5,0.629,0.628,0.948,0.774,0.772,0.774,0.774,0.68
6,0.587,0.585,0.939,0.742,0.739,0.742,0.742,0.598
7,0.553,0.552,0.93,0.714,0.712,0.714,0.714,0.591
8,0.521,0.52,0.921,0.687,0.685,0.687,0.687,0.583
9,0.494,0.493,0.913,0.663,0.661,0.663,0.663,0.578
10,0.47,0.469,0.905,0.641,0.638,0.641,0.641,0.513
