Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.897,0.897,0.941,0.947,0.947,0.947,0.947,0.972
2,0.803,0.802,0.919,0.895,0.894,0.895,0.895,0.934
3,0.742,0.741,0.904,0.857,0.856,0.857,0.857,0.889
4,0.684,0.682,0.881,0.817,0.815,0.817,0.817,0.803
5,0.639,0.638,0.879,0.785,0.783,0.785,0.785,0.763
6,0.595,0.594,0.853,0.751,0.749,0.751,0.751,0.641
7,0.56,0.558,0.843,0.721,0.719,0.721,0.721,0.516
8,0.528,0.527,0.837,0.695,0.693,0.695,0.695,0.311
9,0.5,0.499,0.828,0.669,0.667,0.669,0.669,0.241
10,0.473,0.471,0.824,0.645,0.643,0.645,0.645,0.19
