Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.904,0.898,0.988,0.949,0.937,0.949,0.949,0.948
2,0.811,0.805,0.975,0.895,0.884,0.895,0.895,0.817
3,0.74,0.734,0.965,0.852,0.84,0.852,0.852,0.864
4,0.686,0.68,0.955,0.816,0.804,0.816,0.816,0.831
5,0.636,0.63,0.945,0.78,0.769,0.78,0.78,0.785
6,0.594,0.589,0.935,0.747,0.736,0.747,0.747,0.771
7,0.558,0.554,0.926,0.719,0.708,0.719,0.719,0.744
8,0.522,0.517,0.915,0.688,0.677,0.688,0.688,0.762
9,0.489,0.485,0.904,0.659,0.649,0.659,0.659,0.737
10,0.461,0.457,0.894,0.633,0.623,0.633,0.633,0.709
