Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.903,0.897,0.969,0.947,0.935,0.947,0.947,0.811
2,0.821,0.815,0.953,0.899,0.888,0.899,0.899,0.82
3,0.746,0.736,0.934,0.852,0.831,0.852,0.852,0.825
4,0.694,0.681,0.923,0.818,0.788,0.818,0.818,0.736
5,0.648,0.635,0.907,0.783,0.754,0.783,0.783,0.655
6,0.599,0.587,0.889,0.748,0.72,0.748,0.748,0.699
7,0.562,0.548,0.88,0.718,0.683,0.718,0.718,0.621
8,0.532,0.515,0.872,0.693,0.651,0.693,0.693,0.528
9,0.504,0.488,0.864,0.669,0.629,0.669,0.669,0.456
10,0.479,0.461,0.843,0.646,0.599,0.646,0.646,0.353
