Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
10,1.000 ± 0.000,0.993 ± 0.001,0.858 ± 0.089,1.000 ± 0.000,0.986 ± 0.002,0.738 ± 0.115,1.000 ± 0.000,0.567 ± 0.070,0.567 ± 0.070
11,1.000 ± 0.000,0.993 ± 0.001,0.882 ± 0.082,1.000 ± 0.000,0.986 ± 0.002,0.823 ± 0.056,1.000 ± 0.000,0.714 ± 0.050,0.739 ± 0.075
12,1.000 ± 0.000,0.993 ± 0.001,0.970 ± 0.014,1.000 ± 0.000,0.986 ± 0.002,0.908 ± 0.030,1.000 ± 0.000,0.852 ± 0.045,0.895 ± 0.015
13,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
2,1.000 ± 0.000,0.993 ± 0.001,0.947 ± 0.030,1.000 ± 0.000,0.986 ± 0.002,0.888 ± 0.041,1.000 ± 0.000,0.840 ± 0.031,0.892 ± 0.011
3,1.000 ± 0.000,0.993 ± 0.001,0.859 ± 0.077,1.000 ± 0.000,0.986 ± 0.002,0.801 ± 0.064,1.000 ± 0.000,0.705 ± 0.031,0.746 ± 0.020
4,1.000 ± 0.000,0.993 ± 0.001,0.848 ± 0.076,1.000 ± 0.000,0.986 ± 0.002,0.722 ± 0.109,1.000 ± 0.000,0.586 ± 0.091,0.614 ± 0.139
5,1.000 ± 0.000,0.993 ± 0.001,0.842 ± 0.057,1.000 ± 0.000,0.986 ± 0.002,0.628 ± 0.145,1.000 ± 0.000,0.446 ± 0.091,0.449 ± 0.086
6,1.000 ± 0.000,0.993 ± 0.001,0.844 ± 0.066,1.000 ± 0.000,0.986 ± 0.002,0.584 ± 0.070,1.000 ± 0.000,0.416 ± 0.059,0.423 ± 0.048
7,1.000 ± 0.000,0.993 ± 0.001,0.839 ± 0.065,1.000 ± 0.000,0.986 ± 0.002,0.591 ± 0.019,1.000 ± 0.000,0.354 ± 0.061,0.354 ± 0.061
8,1.000 ± 0.000,0.993 ± 0.001,0.848 ± 0.085,1.000 ± 0.000,0.986 ± 0.002,0.635 ± 0.057,1.000 ± 0.000,0.428 ± 0.044,0.432 ± 0.051
9,1.000 ± 0.000,0.993 ± 0.001,0.861 ± 0.077,1.000 ± 0.000,0.986 ± 0.002,0.663 ± 0.140,1.000 ± 0.000,0.444 ± 0.013,0.448 ± 0.015
