Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.992,0.974,1.0,0.984,0.933,1.0,0.807,0.878
3,1.0,0.992,0.817,1.0,0.984,0.763,1.0,0.669,0.669
4,1.0,0.992,0.794,1.0,0.984,0.608,1.0,0.502,0.502
5,1.0,0.992,0.821,1.0,0.984,0.505,1.0,0.457,0.457
6,1.0,0.992,0.817,1.0,0.984,0.588,1.0,0.424,0.424
7,1.0,0.992,0.825,1.0,0.984,0.608,1.0,0.424,0.424
8,1.0,0.992,0.825,1.0,0.984,0.66,1.0,0.456,0.456
9,1.0,0.992,0.858,1.0,0.984,0.794,1.0,0.515,0.515
10,1.0,0.992,0.876,1.0,0.984,0.835,1.0,0.688,0.773
11,1.0,0.992,0.903,1.0,0.984,0.851,1.0,0.669,0.738
12,1.0,0.992,0.96,1.0,0.984,0.907,1.0,0.808,0.879
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
