Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.994,0.968,1.0,0.987,0.916,1.0,0.842,0.893
3,1.0,0.994,0.906,1.0,0.987,0.824,1.0,0.721,0.731
4,1.0,0.994,0.906,1.0,0.987,0.711,1.0,0.557,0.557
5,1.0,0.994,0.889,1.0,0.987,0.565,1.0,0.344,0.352
6,1.0,0.994,0.917,1.0,0.987,0.569,1.0,0.348,0.368
7,1.0,0.994,0.909,1.0,0.987,0.594,1.0,0.314,0.314
8,1.0,0.994,0.944,1.0,0.987,0.699,1.0,0.474,0.487
9,1.0,0.994,0.949,1.0,0.987,0.77,1.0,0.446,0.456
10,1.0,0.994,0.96,1.0,0.987,0.824,1.0,0.64,0.64
11,1.0,0.994,0.974,1.0,0.987,0.874,1.0,0.767,0.818
12,1.0,0.994,0.981,1.0,0.987,0.916,1.0,0.896,0.899
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
