Metric,Synonym Substitution,Active <-> Passive Transformation,Brevity - L1,Brevity - L2,Verbosity - L1,Verbosity - L2,Macro-Actions -> Micro-Actions,Micro-Actions -> Macro-Actions,"Insert Attributes, Emotions and Scene",Scattered Segments Repetition (~50%),Addition (~50%),Addition (~80%),Deletion (~50%),Deletion (~80%),Subject Corruption,Object Corruption,Action Corruption,Subject-Object Corruption,Subject-Action Corruption,Object-Action Corruption,Subject-Action-Object Corruption,Complete Corruption,Summarization,Reverse Segments Order,Jumble Segments Order,Rotate Half Paragraph
BLEU-1,0.909 ± 0.026,0.709 ± 0.066,0.507 ± 0.132,0.293 ± 0.270,0.779 ± 0.098,0.653 ± 0.094,0.662 ± 0.103,0.397 ± 0.188,0.678 ± 0.035,0.679 ± 0.017,0.541 ± 0.040,0.442 ± 0.036,0.420 ± 0.026,0.045 ± 0.011,0.820 ± 0.014,0.895 ± 0.023,0.780 ± 0.034,0.550 ± 0.105,0.519 ± 0.092,0.677 ± 0.031,0.456 ± 0.063,0.292 ± 0.012,0.047 ± 0.019,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
BLEU-4,0.791 ± 0.055,0.394 ± 0.134,0.292 ± 0.120,0.153 ± 0.180,0.578 ± 0.150,0.408 ± 0.117,0.365 ± 0.133,0.190 ± 0.123,0.590 ± 0.039,0.677 ± 0.017,0.537 ± 0.037,0.438 ± 0.033,0.416 ± 0.027,0.044 ± 0.011,0.615 ± 0.123,0.738 ± 0.063,0.471 ± 0.075,0.232 ± 0.146,0.172 ± 0.096,0.272 ± 0.076,0.073 ± 0.032,0.005 ± 0.000,0.013 ± 0.008,0.909 ± 0.021,0.916 ± 0.024,0.997 ± 0.000
METEOR,0.944 ± 0.025,0.807 ± 0.098,0.493 ± 0.123,0.365 ± 0.212,0.881 ± 0.089,0.789 ± 0.063,0.693 ± 0.076,0.399 ± 0.121,0.868 ± 0.012,0.838 ± 0.004,0.825 ± 0.028,0.796 ± 0.029,0.488 ± 0.015,0.220 ± 0.024,0.877 ± 0.043,0.912 ± 0.021,0.825 ± 0.029,0.625 ± 0.125,0.538 ± 0.085,0.686 ± 0.039,0.455 ± 0.098,0.214 ± 0.010,0.153 ± 0.024,0.568 ± 0.023,0.611 ± 0.023,0.601 ± 0.021
ROUGE-1,0.912 ± 0.026,0.853 ± 0.038,0.739 ± 0.068,0.580 ± 0.182,0.877 ± 0.057,0.792 ± 0.054,0.788 ± 0.060,0.640 ± 0.123,0.807 ± 0.023,0.799 ± 0.009,0.699 ± 0.039,0.611 ± 0.040,0.686 ± 0.011,0.382 ± 0.021,0.849 ± 0.024,0.898 ± 0.024,0.802 ± 0.030,0.591 ± 0.103,0.545 ± 0.088,0.699 ± 0.025,0.488 ± 0.064,0.319 ± 0.023,0.324 ± 0.044,0.987 ± 0.009,0.987 ± 0.009,0.987 ± 0.009
ROUGE-4,0.699 ± 0.075,0.281 ± 0.143,0.260 ± 0.107,0.145 ± 0.143,0.502 ± 0.150,0.326 ± 0.103,0.263 ± 0.109,0.147 ± 0.089,0.614 ± 0.044,0.773 ± 0.012,0.671 ± 0.042,0.586 ± 0.042,0.658 ± 0.015,0.354 ± 0.023,0.499 ± 0.180,0.616 ± 0.088,0.295 ± 0.080,0.116 ± 0.110,0.067 ± 0.053,0.113 ± 0.057,0.015 ± 0.008,0.000 ± 0.000,0.025 ± 0.018,0.792 ± 0.058,0.803 ± 0.059,0.957 ± 0.025
ROUGE-L,0.911 ± 0.026,0.695 ± 0.090,0.671 ± 0.098,0.507 ± 0.195,0.843 ± 0.073,0.740 ± 0.070,0.693 ± 0.063,0.523 ± 0.126,0.806 ± 0.022,0.799 ± 0.008,0.698 ± 0.040,0.610 ± 0.040,0.686 ± 0.011,0.382 ± 0.021,0.829 ± 0.057,0.887 ± 0.032,0.771 ± 0.044,0.579 ± 0.121,0.506 ± 0.097,0.646 ± 0.037,0.434 ± 0.061,0.141 ± 0.004,0.228 ± 0.050,0.234 ± 0.008,0.337 ± 0.032,0.528 ± 0.017
ROUGE-Lsum,0.912 ± 0.026,0.803 ± 0.041,0.726 ± 0.076,0.563 ± 0.188,0.871 ± 0.058,0.785 ± 0.055,0.778 ± 0.063,0.617 ± 0.124,0.807 ± 0.023,0.799 ± 0.008,0.699 ± 0.039,0.611 ± 0.040,0.686 ± 0.011,0.382 ± 0.021,0.848 ± 0.025,0.896 ± 0.026,0.798 ± 0.029,0.590 ± 0.105,0.539 ± 0.087,0.688 ± 0.021,0.483 ± 0.063,0.305 ± 0.021,0.310 ± 0.051,0.948 ± 0.046,0.965 ± 0.029,0.979 ± 0.016
VCS_LCT0,0.963 ± 0.027,0.956 ± 0.009,0.911 ± 0.064,0.854 ± 0.093,0.973 ± 0.021,0.939 ± 0.032,0.959 ± 0.016,0.887 ± 0.063,0.859 ± 0.038,0.767 ± 0.017,0.653 ± 0.092,0.504 ± 0.132,0.648 ± 0.024,0.000 ± 0.000,0.457 ± 0.140,0.870 ± 0.025,0.905 ± 0.033,0.000 ± 0.000,0.052 ± 0.090,0.759 ± 0.079,0.000 ± 0.000,0.000 ± 0.000,0.581 ± 0.184,0.000 ± 0.000,0.030 ± 0.027,0.427 ± 0.034
VCS_LCT1,0.966 ± 0.026,0.960 ± 0.011,0.945 ± 0.047,0.903 ± 0.056,0.980 ± 0.010,0.941 ± 0.030,0.959 ± 0.016,0.908 ± 0.052,0.864 ± 0.032,0.774 ± 0.010,0.661 ± 0.098,0.511 ± 0.135,0.699 ± 0.023,0.106 ± 0.054,0.459 ± 0.142,0.871 ± 0.024,0.914 ± 0.034,0.000 ± 0.000,0.052 ± 0.090,0.763 ± 0.079,0.000 ± 0.000,0.000 ± 0.000,0.662 ± 0.108,0.433 ± 0.013,0.101 ± 0.028,0.429 ± 0.033
