Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.916 ± 0.036,0.916 ± 0.036,0.926 ± 0.028,0.958 ± 0.017,0.957 ± 0.018,0.958 ± 0.017,0.958 ± 0.017,0.946 ± 0.012
2,0.841 ± 0.038,0.841 ± 0.038,0.865 ± 0.027,0.919 ± 0.016,0.918 ± 0.016,0.919 ± 0.016,0.919 ± 0.016,0.861 ± 0.061
3,0.757 ± 0.085,0.757 ± 0.085,0.801 ± 0.057,0.877 ± 0.040,0.876 ± 0.041,0.877 ± 0.040,0.877 ± 0.040,0.770 ± 0.083
4,0.673 ± 0.113,0.673 ± 0.113,0.737 ± 0.073,0.834 ± 0.055,0.832 ± 0.056,0.834 ± 0.055,0.834 ± 0.055,0.700 ± 0.103
5,0.549 ± 0.121,0.549 ± 0.121,0.650 ± 0.076,0.770 ± 0.061,0.766 ± 0.062,0.770 ± 0.061,0.770 ± 0.061,0.583 ± 0.116
6,0.454 ± 0.064,0.454 ± 0.064,0.584 ± 0.037,0.718 ± 0.033,0.714 ± 0.033,0.718 ± 0.033,0.718 ± 0.033,0.335 ± 0.107
7,0.322 ± 0.076,0.322 ± 0.076,0.498 ± 0.047,0.641 ± 0.050,0.635 ± 0.051,0.641 ± 0.050,0.641 ± 0.050,0.139 ± 0.126
8,0.198 ± 0.067,0.198 ± 0.067,0.411 ± 0.045,0.552 ± 0.063,0.545 ± 0.064,0.552 ± 0.063,0.552 ± 0.063,0.000 ± 0.000
9,0.077 ± 0.051,0.077 ± 0.051,0.301 ± 0.052,0.429 ± 0.068,0.419 ± 0.069,0.429 ± 0.068,0.429 ± 0.068,0.000 ± 0.000
10,0.017 ± 0.017,0.017 ± 0.017,0.208 ± 0.048,0.312 ± 0.068,0.298 ± 0.069,0.312 ± 0.068,0.312 ± 0.068,0.000 ± 0.000
