Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.914 ± 0.018,0.914 ± 0.018,0.859 ± 0.059,0.958 ± 0.009,0.957 ± 0.009,0.958 ± 0.009,0.958 ± 0.009,0.974 ± 0.020
2,0.793 ± 0.053,0.793 ± 0.053,0.702 ± 0.085,0.897 ± 0.029,0.895 ± 0.030,0.897 ± 0.029,0.897 ± 0.029,0.923 ± 0.019
3,0.683 ± 0.068,0.683 ± 0.068,0.605 ± 0.084,0.840 ± 0.038,0.837 ± 0.038,0.840 ± 0.038,0.840 ± 0.038,0.844 ± 0.020
4,0.540 ± 0.070,0.540 ± 0.070,0.507 ± 0.079,0.762 ± 0.046,0.758 ± 0.048,0.762 ± 0.046,0.762 ± 0.046,0.743 ± 0.047
5,0.414 ± 0.076,0.414 ± 0.076,0.447 ± 0.046,0.689 ± 0.047,0.684 ± 0.048,0.689 ± 0.047,0.689 ± 0.047,0.646 ± 0.056
6,0.282 ± 0.063,0.282 ± 0.063,0.369 ± 0.006,0.610 ± 0.038,0.603 ± 0.039,0.610 ± 0.038,0.610 ± 0.038,0.481 ± 0.126
7,0.193 ± 0.111,0.193 ± 0.111,0.308 ± 0.044,0.538 ± 0.089,0.530 ± 0.091,0.538 ± 0.089,0.538 ± 0.089,0.204 ± 0.244
8,0.090 ± 0.088,0.090 ± 0.088,0.234 ± 0.051,0.435 ± 0.095,0.425 ± 0.097,0.435 ± 0.095,0.435 ± 0.095,0.000 ± 0.000
9,0.037 ± 0.045,0.037 ± 0.045,0.177 ± 0.027,0.354 ± 0.083,0.341 ± 0.086,0.354 ± 0.083,0.354 ± 0.083,0.000 ± 0.000
10,0.005 ± 0.005,0.005 ± 0.005,0.119 ± 0.013,0.260 ± 0.041,0.245 ± 0.042,0.260 ± 0.041,0.260 ± 0.041,0.000 ± 0.000
