Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.905 ± 0.046,0.899 ± 0.045,0.916 ± 0.035,0.954 ± 0.022,0.941 ± 0.022,0.954 ± 0.022,0.954 ± 0.022,0.924 ± 0.027
2,0.826 ± 0.098,0.820 ± 0.097,0.850 ± 0.069,0.914 ± 0.049,0.900 ± 0.049,0.914 ± 0.049,0.914 ± 0.049,0.832 ± 0.056
3,0.715 ± 0.159,0.709 ± 0.159,0.766 ± 0.101,0.856 ± 0.086,0.840 ± 0.088,0.856 ± 0.086,0.856 ± 0.086,0.753 ± 0.099
4,0.597 ± 0.145,0.592 ± 0.144,0.681 ± 0.087,0.795 ± 0.080,0.778 ± 0.082,0.795 ± 0.080,0.795 ± 0.080,0.689 ± 0.094
5,0.450 ± 0.153,0.445 ± 0.152,0.573 ± 0.090,0.711 ± 0.088,0.691 ± 0.091,0.711 ± 0.088,0.711 ± 0.088,0.600 ± 0.087
6,0.362 ± 0.138,0.357 ± 0.137,0.507 ± 0.075,0.657 ± 0.083,0.635 ± 0.085,0.657 ± 0.083,0.657 ± 0.083,0.426 ± 0.174
7,0.235 ± 0.125,0.231 ± 0.124,0.416 ± 0.077,0.571 ± 0.091,0.547 ± 0.094,0.571 ± 0.091,0.571 ± 0.091,0.261 ± 0.184
8,0.151 ± 0.086,0.149 ± 0.085,0.346 ± 0.067,0.506 ± 0.080,0.479 ± 0.083,0.506 ± 0.080,0.506 ± 0.080,0.083 ± 0.144
9,0.041 ± 0.029,0.040 ± 0.029,0.232 ± 0.039,0.374 ± 0.057,0.344 ± 0.060,0.374 ± 0.057,0.374 ± 0.057,0.000 ± 0.000
10,0.023 ± 0.022,0.023 ± 0.022,0.193 ± 0.046,0.328 ± 0.069,0.294 ± 0.072,0.328 ± 0.069,0.328 ± 0.069,0.000 ± 0.000
