Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.890 ± 0.024,0.885 ± 0.025,0.899 ± 0.018,0.946 ± 0.011,0.934 ± 0.014,0.946 ± 0.011,0.946 ± 0.011,0.905 ± 0.045
2,0.777 ± 0.037,0.767 ± 0.041,0.765 ± 0.057,0.891 ± 0.018,0.868 ± 0.029,0.891 ± 0.018,0.891 ± 0.018,0.891 ± 0.059
3,0.715 ± 0.029,0.700 ± 0.031,0.711 ± 0.085,0.856 ± 0.013,0.819 ± 0.019,0.856 ± 0.013,0.856 ± 0.013,0.844 ± 0.065
4,0.591 ± 0.068,0.580 ± 0.068,0.631 ± 0.041,0.792 ± 0.031,0.759 ± 0.032,0.792 ± 0.031,0.792 ± 0.031,0.710 ± 0.085
5,0.487 ± 0.067,0.474 ± 0.068,0.555 ± 0.029,0.737 ± 0.031,0.694 ± 0.033,0.737 ± 0.031,0.737 ± 0.031,0.690 ± 0.147
6,0.424 ± 0.075,0.413 ± 0.076,0.513 ± 0.026,0.702 ± 0.036,0.659 ± 0.041,0.702 ± 0.036,0.702 ± 0.036,0.563 ± 0.218
7,0.296 ± 0.057,0.288 ± 0.059,0.405 ± 0.026,0.625 ± 0.028,0.583 ± 0.038,0.625 ± 0.028,0.625 ± 0.028,0.502 ± 0.176
8,0.149 ± 0.041,0.143 ± 0.041,0.308 ± 0.017,0.512 ± 0.034,0.464 ± 0.041,0.512 ± 0.034,0.512 ± 0.034,0.521 ± 0.042
9,0.084 ± 0.037,0.081 ± 0.036,0.252 ± 0.024,0.448 ± 0.035,0.401 ± 0.042,0.448 ± 0.035,0.448 ± 0.035,0.000 ± 0.000
10,0.016 ± 0.014,0.016 ± 0.014,0.174 ± 0.059,0.308 ± 0.070,0.275 ± 0.072,0.308 ± 0.070,0.308 ± 0.070,0.000 ± 0.000
