Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.922,0.922,0.933,0.958,0.958,0.958,0.958,0.959
2,0.883,0.883,0.895,0.935,0.934,0.935,0.935,0.901
3,0.829,0.829,0.849,0.908,0.907,0.908,0.908,0.827
4,0.767,0.767,0.801,0.877,0.876,0.877,0.877,0.779
5,0.682,0.682,0.734,0.835,0.833,0.835,0.835,0.716
6,0.515,0.515,0.62,0.745,0.741,0.745,0.745,0.335
7,0.33,0.33,0.503,0.641,0.635,0.641,0.641,0.0
8,0.139,0.139,0.369,0.491,0.482,0.491,0.491,0.0
9,0.035,0.035,0.252,0.364,0.351,0.364,0.364,0.0
10,0.002,0.002,0.159,0.242,0.227,0.242,0.242,0.0
