Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.904,0.904,0.805,0.953,0.952,0.953,0.953,0.991
2,0.789,0.789,0.683,0.897,0.895,0.897,0.897,0.923
3,0.698,0.698,0.605,0.844,0.842,0.844,0.844,0.858
4,0.554,0.554,0.499,0.767,0.763,0.767,0.767,0.762
5,0.494,0.494,0.468,0.735,0.731,0.735,0.735,0.707
6,0.348,0.348,0.37,0.652,0.646,0.652,0.652,0.583
7,0.292,0.292,0.337,0.617,0.611,0.617,0.617,0.474
8,0.19,0.19,0.293,0.541,0.533,0.541,0.541,0.0
9,0.088,0.088,0.207,0.448,0.438,0.448,0.448,0.0
10,0.009,0.009,0.118,0.299,0.286,0.299,0.299,0.0
