Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.895,0.889,0.904,0.949,0.936,0.949,0.949,0.925
2,0.852,0.846,0.858,0.928,0.915,0.928,0.928,0.81
3,0.803,0.797,0.817,0.903,0.89,0.903,0.903,0.738
4,0.713,0.707,0.747,0.857,0.842,0.857,0.857,0.658
5,0.57,0.564,0.637,0.781,0.764,0.781,0.781,0.58
6,0.466,0.461,0.549,0.716,0.698,0.716,0.716,0.592
7,0.343,0.338,0.466,0.645,0.624,0.645,0.645,0.445
8,0.2,0.197,0.347,0.549,0.525,0.549,0.549,0.25
9,0.065,0.064,0.259,0.42,0.392,0.42,0.42,0.0
10,0.046,0.045,0.225,0.392,0.362,0.392,0.392,0.0
