Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.865,0.859,0.889,0.935,0.921,0.935,0.935,0.897
2,0.786,0.775,0.824,0.896,0.869,0.896,0.896,0.909
3,0.743,0.725,0.786,0.87,0.829,0.87,0.87,0.901
4,0.581,0.57,0.674,0.786,0.755,0.786,0.786,0.732
5,0.458,0.443,0.574,0.721,0.672,0.721,0.721,0.705
6,0.388,0.374,0.528,0.682,0.631,0.682,0.682,0.56
7,0.295,0.283,0.433,0.626,0.572,0.626,0.626,0.477
8,0.148,0.14,0.325,0.521,0.461,0.521,0.521,0.487
9,0.062,0.059,0.225,0.432,0.385,0.432,0.432,0.0
10,0.001,0.001,0.116,0.231,0.194,0.231,0.231,0.0
